text,label
how are you sensor humidity paper study temperature grow thanks.,0
thanks I need help contamination.,0
fee charge billing address bank transfer receipt account number credit card outstanding balance.,1
contamination mycelium how are you humidity research VPD please.,0
transaction outstanding balance receipt bank transfer wire transfer billing address.,1
billing address payment bank transfer receipt wire transfer credit card.,1
due date autopay transaction payment account number.,1
how are you mycelium study.,0
humidity grow research thanks VPD hello temperature paper.,0
payment receipt bank transfer autopay account number invoice credit card transaction.,1
grow how are you contamination VPD please.,0
temperature sensor please how are you.,0
paper VPD grow how are you I need help.,0
outstanding balance account number receipt charge fee autopay invoice.,1
autopay billing address credit card invoice due date account number charge.,1
grow hello thanks research contamination.,0
mycelium how are you thanks humidity temperature hello paper please.,0
receipt transaction bank transfer due date billing address credit card.,1
bank transfer account number fee billing address payment invoice due date autopay.,1
hello temperature how are you I need help sensor mycelium paper.,0
sensor mycelium I need help please VPD how are you grow.,0
payment credit card autopay billing address fee transaction.,1
autopay credit card invoice outstanding balance receipt billing address charge.,1
credit card outstanding balance due date wire transfer.,1
bank transfer payment invoice transaction receipt.,1
thanks mycelium VPD humidity.,0
VPD study temperature grow.,0
receipt billing address invoice.,1
invoice transaction payment bank transfer fee receipt.,1
receipt billing address autopay wire transfer credit card payment account number.,1
bank transfer due date fee.,1
paper humidity grow how are you mycelium study.,0
mycelium contamination study VPD.,0
receipt credit card billing address.,1
outstanding balance bank transfer due date payment charge.,1
payment charge account number outstanding balance bank transfer fee due date wire transfer.,1
due date credit card outstanding balance.,1
fee due date autopay payment.,1
research temperature sensor study.,0
research contamination sensor temperature paper humidity grow.,0
grow thanks sensor how are you research temperature I need help VPD.,0
hello grow VPD how are you I need help sensor contamination.,0
hello grow I need help.,0
temperature paper how are you.,0
contamination VPD mycelium sensor study paper hello.,0
study research contamination temperature please grow.,0
sensor VPD thanks hello study how are you grow.,0
how are you VPD temperature thanks hello please sensor paper.,0
VPD contamination thanks grow humidity I need help mycelium.,0
account number bank transfer autopay fee invoice wire transfer.,1
grow how are you VPD.,0
mycelium I need help paper humidity temperature contamination thanks grow.,0
contamination temperature thanks.,0
credit card autopay billing address account number receipt.,1
contamination humidity how are you I need help.,0
receipt autopay bank transfer due date charge payment wire transfer.,1
grow hello study I need help thanks please research.,0
please study thanks research how are you I need help.,0
VPD research study.,0
study VPD hello temperature grow contamination thanks mycelium.,0
due date wire transfer billing address fee.,1
billing address transaction invoice receipt.,1
autopay billing address outstanding balance transaction fee.,1
research humidity study sensor please.,0
please I need help research sensor study grow humidity.,0
account number credit card receipt charge autopay billing address.,1
paper please research contamination.,0
paper I need help hello temperature.,0
paper grow VPD how are you research humidity.,0
how are you research thanks I need help sensor.,0
due date receipt payment outstanding balance transaction bank transfer invoice.,1
invoice receipt charge bank transfer outstanding balance account number.,1
bank transfer outstanding balance invoice.,1
study how are you humidity temperature grow.,0
thanks hello I need help sensor.,0
paper thanks research humidity sensor temperature hello how are you.,0
I need help please thanks.,0
humidity contamination VPD mycelium how are you I need help please.,0
payment invoice outstanding balance receipt fee.,1
payment wire transfer transaction fee charge invoice.,1
VPD contamination please humidity thanks I need help mycelium hello.,0
bank transfer outstanding balance fee receipt due date payment wire transfer.,1
charge wire transfer account number.,1
VPD hello mycelium sensor paper research grow.,0
billing address invoice bank transfer payment wire transfer.,1
humidity temperature paper how are you.,0
humidity research grow thanks hello paper VPD.,0
paper temperature thanks study sensor.,0
transaction autopay due date billing address payment wire transfer invoice account number.,1
hello research please study.,0
study I need help VPD mycelium research.,0
I need help hello research temperature please study.,0
paper research hello temperature grow.,0
payment account number bank transfer receipt autopay.,1
transaction receipt bank transfer due date wire transfer fee billing address account number.,1
I need help research how are you humidity mycelium paper temperature.,0
paper thanks VPD I need help grow how are you contamination.,0
temperature I need help paper sensor contamination.,0
mycelium thanks humidity sensor grow research hello temperature.,0
mycelium I need help temperature hello how are you study grow.,0
research humidity temperature thanks hello paper sensor.,0
thanks how are you please.,0
bank transfer wire transfer receipt fee invoice due date transaction charge.,1
transaction account number payment fee due date.,1
grow mycelium study temperature I need help please how are you.,0
humidity thanks sensor.,0
receipt charge payment credit card autopay transaction outstanding balance.,1
I need help humidity sensor please how are you thanks temperature.,0
due date billing address transaction payment bank transfer fee.,1
payment charge account number credit card autopay due date billing address receipt.,1
VPD please how are you paper thanks.,0
research sensor hello grow.,0
fee bank transfer transaction charge due date payment autopay.,1
mycelium humidity paper sensor VPD.,0
research mycelium contamination how are you thanks grow.,0
payment transaction account number autopay charge bank transfer due date receipt.,1
temperature contamination thanks research mycelium VPD hello.,0
VPD thanks I need help.,0
due date bank transfer billing address outstanding balance.,1
VPD I need help how are you paper please.,0
VPD I need help thanks temperature paper contamination study how are you.,0
autopay due date fee billing address account number wire transfer bank transfer.,1
hello paper study how are you research contamination I need help.,0
outstanding balance account number fee receipt billing address invoice transaction bank transfer.,1
credit card autopay wire transfer transaction outstanding balance receipt billing address.,1
how are you humidity hello thanks sensor mycelium.,0
sensor please grow contamination thanks research.,0
grow humidity study mycelium thanks research VPD how are you.,0
please sensor how are you I need help paper.,0
thanks how are you hello I need help.,0
wire transfer fee receipt outstanding balance due date bank transfer.,1
humidity grow please thanks sensor VPD temperature.,0
study I need help sensor hello how are you mycelium.,0
transaction outstanding balance account number fee bank transfer invoice charge.,1
sensor contamination temperature research study.,0
charge invoice payment receipt due date.,1
humidity grow research mycelium paper.,0
mycelium hello contamination.,0
outstanding balance bank transfer charge credit card payment receipt transaction.,1
credit card fee autopay account number payment due date billing address.,1
bank transfer account number wire transfer charge billing address due date.,1
fee charge receipt account number.,1
invoice wire transfer due date.,1
grow research sensor VPD paper thanks humidity contamination.,0
study contamination grow thanks mycelium.,0
billing address credit card fee bank transfer charge wire transfer transaction.,1
fee credit card transaction invoice bank transfer wire transfer payment outstanding balance.,1
credit card account number billing address autopay invoice transaction wire transfer.,1
research study contamination paper please hello sensor thanks.,0
temperature humidity contamination mycelium thanks please hello.,0
billing address payment outstanding balance invoice transaction bank transfer receipt.,1
mycelium humidity please study.,0
account number fee transaction invoice due date charge outstanding balance.,1
bank transfer autopay transaction charge receipt wire transfer due date.,1
study VPD grow paper research I need help.,0
transaction outstanding balance account number credit card charge autopay billing address.,1
account number credit card billing address outstanding balance transaction.,1
sensor grow VPD humidity I need help.,0
payment fee autopay charge receipt.,1
paper grow research thanks I need help hello.,0
billing address payment bank transfer transaction credit card.,1
sensor please paper VPD I need help humidity temperature thanks.,0
fee billing address wire transfer.,1
please hello temperature VPD.,0
temperature please hello how are you.,0
bank transfer billing address transaction payment due date invoice.,1
study thanks mycelium temperature sensor humidity please.,0
grow I need help temperature hello how are you.,0
fee outstanding balance charge invoice due date receipt wire transfer autopay.,1
account number transaction due date credit card invoice fee.,1
contamination study how are you grow I need help.,0
autopay charge account number transaction due date billing address.,1
I need help please research how are you grow thanks.,0
sensor temperature I need help humidity thanks hello grow research.,0
temperature research please thanks contamination mycelium study.,0
bank transfer payment receipt autopay account number due date charge.,1
bank transfer outstanding balance invoice credit card receipt account number.,1
account number credit card bank transfer wire transfer fee invoice.,1
autopay bank transfer billing address outstanding balance invoice.,1
how are you sensor I need help thanks mycelium VPD research study.,0
study I need help grow contamination please temperature thanks sensor.,0
sensor humidity contamination grow.,0
humidity VPD sensor paper temperature please.,0
temperature research contamination how are you.,0
transaction charge billing address bank transfer payment fee invoice.,1
study VPD please contamination paper thanks humidity.,0
paper VPD sensor how are you temperature.,0
humidity contamination sensor how are you.,0
transaction account number invoice wire transfer due date charge receipt.,1
fee invoice charge transaction credit card account number.,1
I need help paper hello humidity please contamination.,0
hello mycelium grow.,0
payment charge invoice wire transfer transaction billing address credit card outstanding balance.,1
research thanks study temperature.,0
autopay receipt bank transfer account number transaction wire transfer charge invoice.,1
autopay charge due date wire transfer bank transfer payment billing address credit card.,1
VPD thanks humidity please hello temperature.,0
sensor temperature humidity VPD mycelium.,0
receipt outstanding balance account number transaction bank transfer due date credit card.,1
study humidity research how are you.,0
research temperature mycelium.,0
account number invoice outstanding balance billing address payment fee wire transfer.,1
fee autopay billing address invoice outstanding balance account number.,1
transaction outstanding balance charge account number invoice due date.,1
credit card outstanding balance billing address fee bank transfer autopay account number.,1
study thanks temperature VPD please.,0
I need help study hello VPD contamination thanks.,0
autopay receipt charge transaction invoice bank transfer account number wire transfer.,1
grow humidity mycelium research thanks I need help paper.,0
research VPD sensor please.,0
credit card billing address due date transaction.,1
VPD mycelium paper.,0
VPD thanks mycelium please I need help humidity grow.,0
how are you sensor grow study VPD please hello I need help.,0
temperature contamination paper hello how are you please.,0
humidity temperature VPD please sensor study grow.,0
study hello please research how are you.,0
research sensor please humidity contamination study mycelium temperature.,0
bank transfer account number credit card receipt transaction charge wire transfer.,1
credit card bank transfer charge transaction autopay.,1
research humidity sensor.,0
outstanding balance bank transfer account number receipt invoice.,1
paper please humidity thanks hello I need help VPD.,0
contamination humidity mycelium I need help thanks please grow.,0
receipt fee outstanding balance transaction.,1
temperature study grow I need help sensor paper contamination.,0
billing address account number bank transfer due date.,1
humidity VPD sensor thanks.,0
autopay invoice charge account number payment wire transfer billing address.,1
thanks paper temperature please how are you study.,0
outstanding balance charge transaction.,1
hello contamination temperature research paper.,0
autopay transaction invoice billing address charge fee.,1
hello study VPD humidity I need help research.,0
hello VPD humidity temperature mycelium.,0
payment wire transfer charge due date.,1
please contamination VPD I need help.,0
credit card account number receipt payment bank transfer.,1
transaction fee outstanding balance billing address credit card payment.,1
paper temperature research hello how are you mycelium contamination VPD.,0
transaction invoice autopay account number due date payment wire transfer.,1
temperature research grow contamination how are you VPD.,0
outstanding balance wire transfer billing address.,1
sensor I need help hello how are you temperature paper VPD.,0
temperature hello thanks grow paper please research.,0
wire transfer receipt payment credit card due date outstanding balance account number bank transfer.,1
bank transfer receipt billing address due date payment charge wire transfer.,1
how are you mycelium please.,0
bank transfer fee account number.,1
mycelium research grow hello temperature I need help sensor.,0
please grow VPD mycelium humidity thanks.,0
contamination temperature mycelium how are you study I need help please humidity.,0
I need help thanks mycelium.,0
research temperature thanks humidity mycelium grow contamination how are you.,0
hello I need help sensor.,0
account number credit card payment due date billing address.,1
receipt transaction charge billing address.,1
receipt payment invoice account number bank transfer charge autopay.,1
contamination research grow mycelium hello I need help humidity.,0
research how are you humidity VPD please contamination.,0
due date autopay receipt wire transfer account number credit card charge.,1
transaction due date payment account number receipt.,1
mycelium I need help sensor how are you grow.,0
outstanding balance billing address autopay transaction fee.,1
outstanding balance transaction payment due date credit card invoice receipt.,1
wire transfer fee receipt bank transfer transaction.,1
receipt autopay fee due date credit card.,1
fee billing address outstanding balance transaction bank transfer.,1
mycelium grow I need help humidity.,0
autopay transaction fee outstanding balance bank transfer receipt credit card charge.,1
bank transfer payment fee outstanding balance billing address charge.,1
temperature research VPD hello.,0
sensor humidity please study I need help how are you mycelium paper.,0
temperature I need help please paper.,0
due date billing address receipt account number payment transaction charge credit card.,1
charge wire transfer billing address receipt account number invoice.,1
humidity research VPD contamination temperature.,0
how are you research please.,0
temperature grow thanks study contamination hello mycelium paper.,0
payment invoice wire transfer credit card outstanding balance charge.,1
charge wire transfer fee billing address outstanding balance transaction bank transfer autopay.,1
account number autopay fee charge due date bank transfer.,1
sensor how are you I need help.,0
study how are you paper humidity thanks grow.,0
grow sensor research please VPD.,0
grow sensor how are you paper humidity study.,0
credit card invoice billing address.,1
invoice bank transfer autopay.,1
autopay account number due date.,1
outstanding balance charge due date account number billing address bank transfer receipt wire transfer.,1
research mycelium temperature thanks.,0
autopay wire transfer receipt billing address.,1
billing address fee outstanding balance.,1
fee receipt account number invoice outstanding balance wire transfer.,1
research humidity study how are you contamination.,0
research paper VPD.,0
grow study please sensor.,0
credit card autopay transaction.,1
autopay bank transfer fee receipt billing address wire transfer payment.,1
grow paper sensor contamination thanks.,0
billing address account number credit card fee autopay payment due date transaction.,1
outstanding balance credit card payment.,1
grow humidity thanks VPD.,0
mycelium contamination thanks paper study temperature.,0
transaction autopay charge account number.,1
VPD thanks sensor I need help.,0
due date bank transfer transaction fee.,1
paper grow hello.,0
due date outstanding balance receipt charge autopay transaction.,1
temperature sensor mycelium humidity paper study.,0
how are you contamination hello please.,0
invoice credit card outstanding balance charge account number.,1
research sensor contamination humidity.,0
VPD study how are you contamination research I need help.,0
paper grow VPD hello sensor research please.,0
payment billing address autopay outstanding balance credit card invoice.,1
credit card bank transfer payment transaction billing address outstanding balance.,1
account number billing address fee bank transfer.,1
contamination temperature mycelium thanks study humidity please VPD.,0
contamination grow VPD.,0
contamination VPD thanks grow I need help.,0
contamination I need help VPD temperature how are you.,0
research study mycelium hello.,0
paper temperature thanks humidity research.,0
thanks humidity grow please.,0
receipt transaction due date fee credit card wire transfer charge outstanding balance.,1
temperature research paper.,0
mycelium VPD humidity.,0
billing address bank transfer transaction wire transfer account number.,1
hello paper research humidity how are you sensor grow.,0
account number charge receipt.,1
receipt outstanding balance transaction credit card.,1
wire transfer credit card bank transfer charge fee.,1
contamination paper sensor grow.,0
account number invoice wire transfer payment transaction billing address autopay receipt.,1
sensor study hello mycelium.,0
humidity thanks temperature I need help.,0
paper I need help how are you temperature.,0
credit card payment bank transfer autopay due date.,1
mycelium temperature I need help.,0
humidity research please mycelium temperature how are you contamination hello.,0
transaction payment due date fee.,1
VPD temperature sensor hello.,0
humidity grow how are you.,0
humidity thanks sensor how are you please mycelium.,0
humidity research how are you.,0
grow study I need help.,0
mycelium research paper thanks.,0
autopay due date payment charge fee invoice account number outstanding balance.,1
humidity please temperature study thanks.,0
contamination temperature sensor please how are you paper.,0
account number payment fee receipt.,1
mycelium grow research thanks please.,0
autopay payment outstanding balance charge fee.,1
humidity contamination I need help study hello research please.,0
contamination VPD please humidity mycelium I need help hello.,0
sensor mycelium how are you please.,0
temperature contamination how are you VPD hello grow.,0
thanks mycelium contamination paper grow.,0
temperature thanks research sensor how are you hello study.,0
I need help please hello.,0
research mycelium VPD.,0
temperature humidity VPD mycelium paper.,0
mycelium how are you temperature VPD humidity contamination thanks I need help.,0
I need help how are you VPD.,0
research thanks VPD grow.,0
fee autopay account number billing address payment credit card.,1
mycelium humidity please hello research how are you study contamination.,0
fee wire transfer invoice credit card due date payment.,1
billing address due date wire transfer.,1
thanks sensor grow.,0
charge account number billing address credit card due date bank transfer fee.,1
account number credit card billing address payment invoice bank transfer receipt due date.,1
how are you I need help humidity contamination temperature study sensor.,0
VPD grow hello sensor contamination thanks.,0
due date credit card payment fee billing address.,1
billing address charge invoice wire transfer.,1
please hello sensor.,0
mycelium thanks paper hello VPD.,0
humidity temperature mycelium please grow study research paper.,0
paper how are you contamination grow study.,0
autopay invoice due date outstanding balance charge account number receipt.,1
study sensor I need help.,0
grow how are you VPD sensor hello.,0
outstanding balance credit card fee account number billing address.,1
sensor grow contamination study.,0
humidity VPD research please.,0
invoice receipt wire transfer outstanding balance.,1
bank transfer autopay billing address invoice wire transfer account number receipt.,1
humidity I need help how are you please VPD study mycelium sensor.,0
thanks humidity I need help.,0
hello please VPD.,0
humidity grow sensor study how are you contamination.,0
VPD thanks temperature.,0
how are you contamination paper hello mycelium thanks.,0
I need help study grow mycelium.,0
paper humidity grow research sensor I need help please how are you.,0
thanks research paper contamination.,0
thanks how are you study.,0
sensor grow mycelium how are you VPD paper.,0
sensor I need help study paper.,0
how are you thanks research.,0
credit card billing address account number fee invoice outstanding balance bank transfer payment.,1
humidity please grow.,0
charge invoice autopay credit card billing address due date.,1
receipt transaction charge.,1
VPD please how are you sensor research thanks temperature hello.,0
paper research please.,0
please paper mycelium grow.,0
temperature study how are you contamination humidity I need help research hello.,0
outstanding balance autopay transaction.,1
how are you paper research grow.,0
hello sensor study.,0
study contamination mycelium humidity.,0
sensor hello mycelium temperature research thanks.,0
outstanding balance due date credit card billing address transaction.,1
hello contamination paper research.,0
temperature I need help sensor mycelium.,0
transaction invoice payment credit card receipt due date fee.,1
autopay account number charge outstanding balance.,1
research VPD study hello mycelium grow sensor paper.,0
study contamination VPD grow mycelium.,0
thanks hello grow contamination please.,0
study research paper.,0
hello research sensor VPD grow.,0
please thanks how are you study temperature humidity I need help.,0
paper research humidity hello please contamination mycelium.,0
study paper thanks research please.,0
bank transfer account number billing address wire transfer fee invoice autopay.,1
contamination thanks study please sensor VPD I need help.,0
sensor hello how are you paper.,0
contamination please hello VPD.,0
invoice bank transfer fee outstanding balance due date account number.,1
thanks research grow hello humidity study contamination how are you.,0
paper grow how are you study temperature mycelium research.,0
credit card bank transfer due date billing address receipt.,1
transaction autopay bank transfer due date charge billing address outstanding balance fee.,1
wire transfer due date receipt credit card autopay account number charge.,1
hello humidity contamination mycelium research study thanks grow.,0
please temperature contamination how are you sensor thanks grow.,0
payment outstanding balance bank transfer billing address due date wire transfer autopay account number.,1
credit card outstanding balance account number.,1
how are you grow I need help study hello temperature mycelium sensor.,0
mycelium thanks study sensor research grow VPD temperature.,0
paper sensor research.,0
autopay account number wire transfer outstanding balance due date transaction payment.,1
I need help hello grow.,0
how are you study grow thanks mycelium.,0
humidity how are you VPD paper.,0
contamination study sensor humidity hello.,0
temperature thanks contamination mycelium paper hello.,0
grow please paper.,0
billing address charge wire transfer account number credit card fee.,1
please how are you hello mycelium contamination.,0
paper sensor thanks hello grow humidity mycelium.,0
I need help paper temperature.,0
contamination sensor please how are you hello research thanks I need help.,0
sensor paper how are you.,0
research mycelium sensor study temperature.,0
how are you temperature VPD mycelium thanks.,0
study mycelium grow thanks sensor.,0
I need help sensor paper.,0
outstanding balance credit card fee invoice due date.,1
temperature how are you paper study grow VPD mycelium please.,0
invoice receipt charge account number billing address transaction outstanding balance.,1
I need help how are you mycelium humidity hello VPD.,0
charge account number fee autopay billing address due date payment.,1
due date wire transfer outstanding balance billing address account number invoice.,1
how are you temperature mycelium please paper thanks.,0
I need help grow humidity how are you research mycelium VPD.,0
VPD grow I need help study sensor hello.,0
contamination study VPD mycelium how are you humidity thanks research.,0
fee wire transfer payment billing address account number autopay credit card.,1
bank transfer receipt credit card account number transaction fee invoice.,1
credit card receipt due date fee.,1
temperature humidity mycelium hello research grow please.,0
billing address transaction credit card.,1
invoice bank transfer credit card billing address autopay.,1
paper humidity temperature how are you please thanks.,0
humidity sensor research grow I need help.,0
receipt fee autopay payment outstanding balance transaction account number wire transfer.,1
humidity sensor research VPD grow hello.,0
account number due date payment credit card charge receipt wire transfer.,1
study contamination hello thanks please temperature research.,0
invoice transaction wire transfer bank transfer.,1
please I need help grow sensor VPD mycelium how are you hello.,0
grow sensor contamination paper.,0
paper sensor contamination VPD.,0
